customer_age_class,region,internet_product_name,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,flag_churn
35 - 39,NRW,VF CABLEMAX,44.48,44.98,31,0,1
55 - 59,NRW,VF RIP U-TREUE,41.07,38.26,33,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.28,35.86,30,0,0
50 - 54,NRW,VF CABLEMAX,50.7,49.74,30,0,1
55 - 59,NRW,VF CABLEMAX,53.09,50.19,30,0,0
80 and over,NRW,EAZY,23.82,19.59,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,31.91,40.14,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.82,40.02,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.24,49.55,30,0,0
25 - 29,NRW,VF CABLEMAX,40.7,45.35,30,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,41.64,59.26,31,0,1
25 - 29,NRW,VF CABLEMAX,40.06,44.69,58,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,45.93,40.04,30,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,38.63,39.11,28,0,0
25 - 29,NRW,VF CABLEMAX,42.29,44.63,29,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,44.2,42.52,350,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,38.17,39.81,30,0,0
35 - 39,NRW,VF CABLEMAX,52.79,45.55,29,0,1
35 - 39,NRW,VF RIP U-TREUE,21.03,25.02,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,36.44,40.31,33,0,1
55 - 59,NRW,VF RIP U-TREUE,51.46,38.53,30,0,0
50 - 54,NRW,VF CABLEMAX,72.65,44.6,33,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,47.17,49.18,29,0,0
25 - 29,NRW,VF CABLEMAX,47.14,45.69,27,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,48.84,45.17,28,0,0
55 - 59,NRW,VF CABLEMAX,52.52,43.91,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,46.42,40.21,30,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,95.6,58.16,30,0,0
80 and over,NRW,VF RIP U-TREUE,37.52,39.5,30,0,0
25 - 29,NRW,VF CABLEMAX,50.94,45.46,31,0,1
80 and over,NRW,VF RIP U-TREUE,34.72,22.96,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,28.66,30.86,30,0,0
50 - 54,NRW,VF CABLEMAX,76.45,45.17,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,49.14,45.05,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,23.33,30.44,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,31.85,34.57,29,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,52.44,53.67,29,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,47.2,44.54,25,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.46,40.51,30,0,0
50 - 54,NRW,VF CABLEMAX,48.26,50.43,29,0,0
50 - 54,NRW,VF CABLEMAX,56.22,44.79,33,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.3,43.96,28,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,47.61,43.97,30,0,1
25 - 29,NRW,VF CABLEMAX,46.56,45.51,29,0,1
25 - 29,NRW,VF CABLEMAX,52.95,45.62,29,0,1
35 - 39,NRW,VF RIP U-TREUE,28.22,34.15,32,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,27.42,34.74,30,0,1
80 and over,NRW,VF RIP U-TREUE,32.65,22.33,30,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,57.47,44.45,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,19.89,28.31,30,0,0
35 - 39,NRW,EAZY,29.55,28.8,29,0,0
55 - 59,NRW,VF CABLEMAX,52.03,48.84,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,43.58,39.74,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.23,39.76,30,0,1
55 - 59,NRW,VF RIP U-TREUE,62.01,43.09,29,0,0
60 - 64,NRW,GIGAZUHAUSE KABEL,50.42,39.7,390,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,41.64,43.62,28,0,1
35 - 39,NRW,VF CABLEMAX,42.91,44.76,29,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,45.84,43.99,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,36.85,39.36,33,0,1
55 - 59,NRW,VF CABLEMAX,80.0,50.26,30,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,43.08,38.59,57,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,43.9,50.66,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,23.12,28.48,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.47,40.26,30,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,84.01,48.72,30,0,0
80 and over,NRW,VF RIP U-TREUE,23.15,29.17,30,0,0
35 - 39,NRW,GIGAZUHAUSE TREUE B,30.93,25.68,31,0,1
35 - 39,NRW,VF RIP U-TREUE,17.57,22.98,29,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,40.57,40.38,32,0,0
55 - 59,NRW,VF RIP U-TREUE,49.55,43.91,29,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,41.37,38.21,371,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,35.39,40.09,33,0,0
55 - 59,NRW,VF RIP U-TREUE,41.78,39.19,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,44.15,39.56,29,0,1
55 - 59,NRW,VF CABLEMAX,79.24,48.12,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,34.71,34.91,30,0,0
40 - 44,NRW,VF RIP U-TREUE,43.32,37.72,32,0,0
50 - 54,NRW,VF CABLEMAX,37.41,43.54,29,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,31.16,40.02,29,0,1
35 - 39,NRW,VF CABLEMAX,43.74,44.96,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.6,44.53,30,0,1
25 - 29,NRW,VF CABLEMAX,44.91,44.65,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.37,34.69,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,44.72,43.44,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,53.38,45.76,29,0,1
50 - 54,NRW,VF CABLEMAX,81.42,51.47,34,0,0
50 - 54,NRW,VF CABLEMAX,47.1,50.55,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.79,39.59,32,0,1
60 - 64,NRW,RED INTERNET & PHONE CABLE U,26.59,29.54,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.81,43.99,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,34.25,40.56,30,0,1
25 - 29,NRW,VF CABLEMAX,46.97,45.26,30,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,38.26,39.89,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,36.27,39.49,30,0,1
25 - 29,NRW,VF CABLEMAX,50.76,46.18,29,0,1
35 - 39,NRW,VF RIP U-TREUE,28.0,27.41,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,44.11,40.0,31,0,1
25 - 29,NRW,VF CABLEMAX,33.39,44.38,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,34.1,39.1,29,0,1
25 - 29,NRW,VF CABLEMAX,43.76,44.98,31,0,1
55 - 59,NRW,VF RIP U-TREUE,43.98,38.26,30,0,0
60 - 64,NRW,RED INTERNET & PHONE CABLE U,48.05,39.08,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.24,34.49,31,0,1
80 and over,NRW,VF RIP U-TREUE,44.68,39.55,31,0,0
35 - 39,NRW,VF RIP U-TREUE,41.03,39.72,29,0,0
35 - 39,NRW,EAZY,27.96,30.6,28,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,42.87,39.02,29,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,50.86,43.98,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,50.23,45.0,28,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,46.53,40.61,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,23.7,33.72,29,0,1
50 - 54,NRW,GIGAZUHAUSE KABEL,73.4,59.49,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.8,40.2,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.64,40.08,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.44,38.44,28,0,1
40 - 44,NRW,VF RIP U-TREUE,29.33,37.66,32,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,48.34,44.8,31,0,1
55 - 59,NRW,VF RIP U-TREUE,73.26,40.06,30,0,0
25 - 29,NRW,VF CABLEMAX,45.34,45.38,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.15,39.33,29,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,41.97,44.68,31,0,1
80 and over,NRW,RED INTERNET & PHONE CABLE U,39.7,31.39,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,43.2,39.38,29,0,1
65 - 69,NRW,VF RIP U-TREUE,44.27,25.66,30,0,0
35 - 39,NRW,VF RIP U-TREUE,31.21,25.56,32,0,0
35 - 39,NRW,VF RIP U-TREUE,30.89,29.77,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.53,40.14,28,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.48,29.69,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.13,43.7,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,41.85,44.96,28,0,0
80 and over,NRW,VF RIP U-TREUE,30.52,28.69,31,0,0
25 - 29,NRW,VF CABLEMAX,41.0,45.74,28,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,33.55,38.53,192,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,37.17,40.87,59,0,1
35 - 39,NRW,VF RIP U-TREUE,26.1,25.76,31,0,0
25 - 29,NRW,VF CABLEMAX,47.52,45.43,67,0,1
50 - 54,NRW,VF CABLEMAX,47.21,45.16,30,0,1
35 - 39,NRW,VF RIP U-TREUE,39.11,38.7,30,0,1
55 - 59,NRW,VF RIP U-TREUE,49.85,43.98,28,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,28.6,35.36,28,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.53,39.23,74,0,1
55 - 59,NRW,VF CABLEMAX,73.29,50.1,32,0,0
50 - 54,NRW,VF CABLEMAX,50.89,45.39,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.17,44.72,29,0,1
35 - 39,NRW,VF RIP U-TREUE,32.4,33.15,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.08,44.53,31,0,1
25 - 29,NRW,VF CABLEMAX,43.74,45.25,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,43.76,40.17,31,0,0
80 and over,NRW,VF RIP U-TREUE,32.46,30.27,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,46.43,40.11,29,0,0
50 - 54,NRW,VF CABLEMAX,39.65,44.75,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.27,40.07,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.69,43.68,29,0,0
55 - 59,NRW,VF CABLEMAX,73.0,50.4,30,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,89.52,49.14,30,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,69.13,58.88,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.97,45.55,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.69,35.15,31,0,1
80 and over,NRW,VF RIP U-TREUE,39.77,39.05,29,0,0
50 - 54,NRW,VF CABLEMAX,52.53,51.66,27,0,0
50 - 54,NRW,VF CABLEMAX,42.0,43.84,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.24,40.5,31,0,0
55 - 59,NRW,VF CABLEMAX,79.98,59.43,29,0,0
25 - 29,NRW,VF CABLEMAX,53.83,44.41,31,0,1
60 - 64,NRW,GIGAZUHAUSE TREUE B,44.58,39.72,30,0,0
80 and over,NRW,VF RIP U-TREUE,31.58,30.08,31,0,0
50 - 54,NRW,VF CABLEMAX,44.31,45.45,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,41.53,44.62,28,0,1
60 - 64,NRW,GIGAZUHAUSE KABEL,42.72,40.04,33,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,40.88,40.46,108,0,1
55 - 59,NRW,VF RIP U-TREUE,31.88,38.46,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.6,39.8,29,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,36.62,34.7,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,29.86,39.88,30,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,45.59,44.12,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,29.24,39.77,28,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.09,34.61,30,0,1
35 - 39,NRW,VF RIP U-TREUE,37.92,32.74,28,0,0
80 and over,NRW,MMA,11.88,0.0,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,22.88,28.84,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.94,45.26,29,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,93.54,55.14,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,30.04,28.58,30,0,0
80 and over,NRW,VF RIP U-TREUE,16.73,23.73,31,0,0
35 - 39,NRW,VF RIP U-TREUE,37.08,34.38,32,0,0
55 - 59,NRW,VF RIP U-TREUE,43.22,40.48,30,0,0
50 - 54,NRW,RED INTERNET & PHONE CABLE U,49.27,39.93,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.31,40.01,28,0,1
55 - 59,NRW,VF RIP U-TREUE,50.47,43.15,30,0,0
35 - 39,NRW,VF CABLEMAX,47.58,45.15,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.02,39.93,30,0,0
80 and over,NRW,VF RIP U-TREUE,34.08,39.53,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,36.32,38.97,32,0,1
25 - 29,NRW,VF CABLEMAX,45.53,44.58,29,0,1
80 and over,NRW,VF RIP U-TREUE,35.25,27.28,30,0,0
35 - 39,NRW,GIGAZUHAUSE TREUE B,29.02,29.01,33,0,0
35 - 39,NRW,MMA,25.19,22.9,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,28.38,29.42,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,46.05,44.3,30,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,63.37,53.05,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,36.43,39.95,28,0,1
50 - 54,NRW,VF CABLEMAX,54.38,50.19,31,0,1
25 - 29,NRW,VF CABLEMAX,45.39,45.71,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,49.79,44.83,30,0,1
80 and over,NRW,VF RIP U-TREUE,44.52,39.49,28,0,0
80 and over,NRW,RED INTERNET & PHONE CABLE U,19.09,32.01,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,46.98,40.59,29,0,1
25 - 29,NRW,VF CABLEMAX,50.32,45.14,29,0,1
50 - 54,NRW,VF CABLEMAX,37.66,45.1,31,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,46.38,39.44,26,0,0
35 - 39,NRW,VF RIP U-TREUE,34.75,26.11,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,47.39,44.14,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,78.77,49.24,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,43.2,39.13,30,0,1
55 - 59,NRW,VF RIP U-TREUE,43.28,38.39,32,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,66.22,43.34,31,0,0
55 - 59,NRW,VF CABLEMAX,77.01,49.69,28,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,31.95,35.39,30,0,1
25 - 29,NRW,VF CABLEMAX,40.92,44.66,82,0,1
55 - 59,NRW,VF RIP U-TREUE,44.85,37.32,29,0,0
25 - 29,NRW,VF CABLEMAX,46.07,44.62,98,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,26.71,31.86,29,0,1
35 - 39,NRW,VF CABLEMAX,51.99,43.53,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.44,45.26,31,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,41.0,44.47,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.26,38.87,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,44.86,40.82,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.04,40.18,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,31.38,29.06,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.39,41.02,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.8,39.85,30,0,0
35 - 39,NRW,GIGAZUHAUSE TREUE B,29.35,28.43,31,0,1
25 - 29,NRW,VF CABLEMAX,42.6,45.64,27,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,49.26,39.14,289,0,1
55 - 59,NRW,VF CABLEMAX,46.28,50.06,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.09,39.72,30,0,1
80 and over,NRW,VF RIP U-TREUE,35.43,27.38,31,0,0
80 and over,NRW,VF RIP U-TREUE,32.78,39.35,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.46,39.96,31,0,0
35 - 39,NRW,VF RIP U-TREUE,27.97,26.05,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,35.67,35.13,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,38.46,40.52,29,0,1
50 - 54,NRW,VF CABLEMAX,88.06,49.95,30,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,45.83,39.2,30,0,1
60 - 64,NRW,GIGAZUHAUSE KABEL,40.44,40.03,32,0,0
60 - 64,NRW,GIGAZUHAUSE KABEL,80.9,54.57,31,0,0
80 and over,NRW,VF RIP U-TREUE,32.65,31.3,28,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.99,39.71,32,0,1
80 and over,NRW,VF RIP U-TREUE,25.07,31.12,30,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,55.6,39.64,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.22,39.51,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.14,39.47,29,0,1
50 - 54,NRW,RED INTERNET & PHONE CABLE U,41.32,45.37,29,0,0
55 - 59,NRW,VF CABLEMAX,86.16,51.78,30,0,0
35 - 39,NRW,GIGAZUHAUSE TREUE B,31.44,27.82,29,0,0
80 and over,NRW,VF RIP U-TREUE,31.86,25.3,31,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,87.51,56.75,332,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,37.98,39.66,28,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.91,44.04,28,0,1
25 - 29,NRW,VF CABLEMAX,47.18,40.19,90,0,1
50 - 54,NRW,VF CABLEMAX,66.7,49.96,28,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,40.24,42.03,324,0,1
25 - 29,NRW,VF CABLEMAX,38.37,45.4,28,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,72.51,59.35,29,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,49.48,58.88,314,0,1
80 and over,NRW,VF RIP U-TREUE,41.74,38.28,31,0,0
50 - 54,NRW,RED INTERNET & PHONE CABLE U,42.37,44.89,29,0,0
35 - 39,NRW,VF RIP U-TREUE,31.84,28.78,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,44.15,44.07,30,0,0
80 and over,NRW,RED INTERNET & PHONE CABLE U,43.26,40.44,32,0,0
35 - 39,NRW,VF RIP U-TREUE,28.12,38.45,31,0,1
80 and over,NRW,VF RIP U-TREUE,29.53,30.43,31,0,0
50 - 54,NRW,RED INTERNET & PHONE CABLE U,50.53,45.09,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,22.19,28.52,28,0,0
80 and over,NRW,MMA,1.99,23.83,30,0,0
35 - 39,NRW,VF CABLEMAX,42.74,44.63,30,0,1
25 - 29,NRW,VF CABLEMAX,41.78,44.66,33,0,1
50 - 54,NRW,VF CABLEMAX,45.6,44.61,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,27.28,35.53,30,0,1
55 - 59,NRW,VF RIP U-TREUE,28.31,38.03,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,41.42,45.43,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,53.89,44.09,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.35,40.15,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.2,35.3,32,0,1
25 - 29,NRW,VF CABLEMAX,47.52,44.43,29,0,1
55 - 59,NRW,VF CABLEMAX,65.37,50.28,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.86,45.17,29,0,1
25 - 29,NRW,VF CABLEMAX,45.18,45.53,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,31.69,40.47,32,0,1
80 and over,NRW,VF RIP U-TREUE,33.13,22.57,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,22.85,28.91,29,0,1
55 - 59,NRW,VF RIP U-TREUE,48.21,43.29,27,0,0
80 and over,NRW,VF RIP U-TREUE,22.13,25.73,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,34.04,39.92,26,0,0
40 - 44,NRW,GIGAZUHAUSE KABEL,61.83,43.34,29,0,0
35 - 39,NRW,VF RIP U-TREUE,26.5,24.42,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,46.6,48.94,31,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,39.65,39.31,30,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,42.99,39.2,30,0,0
35 - 39,NRW,EAZY,25.64,8.04,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,30.62,34.18,29,0,0
35 - 39,NRW,VF CABLEMAX,37.36,45.04,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.4,39.54,29,0,0
55 - 59,NRW,VF CABLEMAX,44.41,44.6,29,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,55.52,44.96,294,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,47.99,40.57,30,0,1
40 - 44,NRW,GIGAZUHAUSE KABEL,60.6,44.56,31,0,1
55 - 59,NRW,VF RIP U-TREUE,49.23,43.79,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,18.09,26.42,31,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,42.31,49.39,29,0,0
80 and over,NRW,VF RIP U-TREUE,27.78,33.92,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.55,39.28,31,0,1
50 - 54,NRW,VF CABLEMAX,40.21,46.09,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.43,39.57,30,0,0
35 - 39,NRW,VF RIP U-TREUE,22.0,29.28,28,0,0
35 - 39,NRW,VF RIP U-TREUE,20.71,29.07,32,0,0
80 and over,NRW,VF RIP U-TREUE,35.59,29.85,31,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,40.41,43.64,28,0,0
25 - 29,NRW,VF CABLEMAX,52.46,45.79,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,32.3,45.14,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,34.03,34.27,33,0,0
80 and over,NRW,VF RIP U-TREUE,38.55,38.72,26,0,0
25 - 29,NRW,VF CABLEMAX,46.24,45.19,29,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,49.01,44.58,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,34.57,34.35,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.38,36.02,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.9,44.78,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.26,40.34,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,44.43,45.44,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.74,40.71,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,34.63,39.77,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,32.81,32.12,29,0,0
25 - 29,NRW,VF CABLEMAX,51.55,45.48,29,0,1
50 - 54,NRW,VF CABLEMAX,79.13,50.16,29,0,1
50 - 54,NRW,RED INTERNET & PHONE CABLE U,48.67,44.92,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,17.22,33.24,30,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,44.28,39.14,132,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,45.68,39.31,29,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.35,31.53,28,0,1
35 - 39,NRW,VF RIP U-TREUE,42.72,38.19,32,0,0
80 and over,NRW,VF RIP U-TREUE,29.1,25.38,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.34,40.28,33,0,1
55 - 59,NRW,VF RIP U-TREUE,49.0,37.77,27,0,0
25 - 29,NRW,VF CABLEMAX,53.71,45.11,30,0,1
80 and over,NRW,VF RIP U-TREUE,35.23,39.42,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,32.69,39.99,31,0,1
25 - 29,NRW,VF CABLEMAX,46.67,45.2,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.65,39.71,29,0,1
65 - 69,NRW,VF RIP U-TREUE,34.56,38.4,30,0,0
80 and over,NRW,VF RIP U-TREUE,27.81,29.72,31,0,0
35 - 39,NRW,VF CABLEMAX,38.4,44.3,28,0,1
25 - 29,NRW,VF CABLEMAX,44.83,40.41,60,0,1
25 - 29,NRW,VF CABLEMAX,39.11,44.69,88,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.31,38.88,30,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,40.29,39.48,213,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,34.82,32.34,29,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,52.06,43.43,29,0,0
35 - 39,NRW,GIGAZUHAUSE TREUE C,20.78,27.42,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.08,35.37,30,0,1
25 - 29,NRW,VF CABLEMAX,44.63,45.34,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,29.21,39.16,31,0,1
